Metric,Epoch,Mean,Std Dev
Accuracy_train,1,0.16128071149190268,0.011465404291691232
Accuracy_train,2,0.2017908493677775,0.03931825966651239
Accuracy_train,3,0.2323485165834427,0.05692751990181991
Accuracy_train,4,0.26710767050584155,0.0941068462594128
Accuracy_train,5,0.3020307223002116,0.14172554384270644
Accuracy_train,6,0.33488280574480694,0.17555435778292408
Accuracy_train,7,0.3705657174189885,0.2212159111755857
Accuracy_train,8,0.4043266425530116,0.24192395118901358
Accuracy_train,9,0.44984281063079834,0.23881677668079015
Accuracy_train,10,0.49669987956682843,0.235444621456393
Accuracy_train,11,0.5248290300369263,0.22830624761370094
Accuracy_train,12,0.5538074175516764,0.22697965848434887
Accuracy_train,13,0.5726098318894705,0.22342715456989673
Accuracy_train,14,0.5889241496721903,0.22007286112470414
Accuracy_train,15,0.5840671062469482,0.23112954435948713
Accuracy_train,16,0.6208227177460989,0.20956728082431145
Accuracy_train,17,0.6641934514045715,0.18814011490147087
Accuracy_train,18,0.6972988247871399,0.16696944827148796
Accuracy_train,19,0.7379281520843506,0.1428985226324616
Accuracy_train,20,0.7610810597737631,0.1268331497826841
Accuracy_train,21,0.781581978003184,0.1143031783992595
Accuracy_train,22,0.8048689564069113,0.09887178079470509
Accuracy_train,23,0.8196784853935242,0.085428732900973
Accuracy_train,24,0.8378998438517252,0.07445197373878186
Accuracy_train,25,0.8511598706245422,0.0679899133139249
Accuracy_train,26,0.8172797560691833,0.0030840635299682617
Accuracy_train,27,0.8329682946205139,0.001206815242767334
Accuracy_train,28,0.8410360813140869,0.0018548965454101562
Accuracy_train,29,0.8532829880714417,0.0034639835357666016
Accuracy_train,30,0.8640548884868622,0.004894286394119263
Accuracy_train,31,0.8706923425197601,0.005050748586654663
Accuracy_train,32,0.8763688504695892,0.0022795498371124268
Accuracy_train,33,0.880391538143158,0.0031287670135498047
Accuracy_train,34,0.8865373432636261,0.001676112413406372
Accuracy_train,35,0.8991641700267792,0.003352254629135132
Accuracy_train,36,0.9005050659179688,0.0008939504623413086
Accuracy_train,37,0.9034774005413055,0.0011397898197174072
Accuracy_train,38,0.9048629999160767,0.0008715987205505371
Accuracy_train,39,0.9012649059295654,0.0
Accuracy_train,40,0.9142269492149353,0.0
Accuracy_train,41,0.9195458889007568,0.0
Accuracy_train,42,0.9275466203689575,0.0
Accuracy_train,43,0.9277253746986389,0.0
Accuracy_validation,1,0.11526147027810414,0.03821682165514257
Accuracy_validation,2,0.13708051790793738,0.060054139090707066
Accuracy_validation,3,0.1777540644009908,0.08527027091129384
Accuracy_validation,4,0.22909996410210928,0.12680910485565927
Accuracy_validation,5,0.2568480968475342,0.16969037708690743
Accuracy_validation,6,0.294201356669267,0.21134205045809448
Accuracy_validation,7,0.3059409558773041,0.225562908430041
Accuracy_validation,8,0.3636902670065562,0.23911946473028345
Accuracy_validation,9,0.426538606484731,0.24300085825968876
Accuracy_validation,10,0.45262659589449566,0.23975321716327413
Accuracy_validation,11,0.47930748263994855,0.229259805952387
Accuracy_validation,12,0.5259101192156473,0.21298861875176453
Accuracy_validation,13,0.529586136341095,0.21862070889110685
Accuracy_validation,14,0.5428673028945923,0.2082906101967108
Accuracy_validation,15,0.5358709792296091,0.21536303199940188
Accuracy_validation,16,0.5891141891479492,0.19509788314410437
Accuracy_validation,17,0.62136842807134,0.17929286274440642
Accuracy_validation,18,0.6744930744171143,0.14577426727127588
Accuracy_validation,19,0.6875370542208353,0.13127670435117791
Accuracy_validation,20,0.7188426653544108,0.11226167403562984
Accuracy_validation,21,0.7339025139808655,0.09827630916718719
Accuracy_validation,22,0.737578550974528,0.09050641800884093
Accuracy_validation,23,0.7705442706743876,0.06542620368121352
Accuracy_validation,24,0.7642594575881958,0.06441533848087766
Accuracy_validation,25,0.7929562528928121,0.05818799850728466
Accuracy_validation,26,0.7735681235790253,0.0023123323917388916
Accuracy_validation,27,0.7926004827022552,0.002845972776412964
Accuracy_validation,28,0.7822838723659515,0.012451082468032837
Accuracy_validation,29,0.8103877604007721,0.004980415105819702
Accuracy_validation,30,0.790821760892868,0.006403416395187378
Accuracy_validation,31,0.8023834824562073,0.0033795833587646484
Accuracy_validation,32,0.8207044005393982,0.006047666072845459
Accuracy_validation,33,0.8228388428688049,0.0014230012893676758
Accuracy_validation,34,0.818036288022995,0.004091054201126099
Accuracy_validation,35,0.8240839540958405,0.0037353336811065674
Accuracy_validation,36,0.8260405659675598,0.007826387882232666
Accuracy_validation,37,0.822483092546463,0.004624694585800171
Accuracy_validation,38,0.837068647146225,0.0010672509670257568
Accuracy_validation,39,0.8271077871322632,0.0
Accuracy_validation,40,0.8349341750144958,0.0
Accuracy_validation,41,0.8477410078048706,0.0
Accuracy_validation,42,0.8434720635414124,0.0
Accuracy_validation,43,0.8392031192779541,0.0
Loss_train,1,2.2629477183024087,0.02868258208459869
Loss_train,2,2.113873839378357,0.1215536502530286
Loss_train,3,2.037911335627238,0.18642334528777882
Loss_train,4,1.960516134897868,0.2846326966342199
Loss_train,5,1.854487379391988,0.37970615405829156
Loss_train,6,1.7734419504801433,0.4621373085116506
Loss_train,7,1.6957055528958638,0.5713591376459429
Loss_train,8,1.6080974539120991,0.6396447100140287
Loss_train,9,1.4830040733019512,0.6214079672826597
Loss_train,10,1.326584259668986,0.5781519808550607
Loss_train,11,1.2425024807453156,0.5581568175017231
Loss_train,12,1.1606362561384838,0.5522013766647922
Loss_train,13,1.1116816699504852,0.5475952646167095
Loss_train,14,1.068363885084788,0.5364479251634309
