epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_accuracy,test_balanced_accuracy
1,1.3141155671118496,64.32849258229929,1.061264964812827,64.90144160047072,92.21653255303585,79.12648010253906
2,0.89116775553128,72.03781265902063,0.7171213207592335,74.13945278022948,92.21653255303585,79.12648010253906
3,0.6240215387302585,80.04070928093319,0.5062006886299943,83.53927625772286,92.21653255303585,79.12648010253906
4,0.4771200027946238,84.86906486084472,0.4240533810230755,86.98146513680494,92.21653255303585,79.12648010253906
5,0.3949202876328228,87.52103965240538,0.3543427964132801,89.57046190055898,92.21653255303585,79.12648010253906
6,0.3390457682936302,89.4253728422124,0.317228957749555,90.3942335981171,92.21653255303585,79.12648010253906
7,0.3018011569566511,90.69362351743844,0.2951958328137331,90.98264195351574,92.21653255303585,79.12648010253906
8,0.2674447515226425,91.7974713273574,0.2774185676880564,91.54162989114444,92.21653255303585,79.12648010253906
9,0.2441203263081209,92.6234000078287,0.268882755190134,91.45336863783466,92.21653255303585,79.12648010253906
10,0.2226606449893255,93.25948252240968,0.2575588537049349,91.9535157399235,92.21653255303585,79.12648010253906
