epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_accuracy,test_balanced_accuracy
1,1.2366660336414017,66.22067275982286,0.9819206192950222,67.91703442188879,92.23116313094367,78.2430191040039
2,0.8020415288497167,74.86478846697446,0.6460074090929789,79.00853192115328,92.23116313094367,78.2430191040039
3,0.565958315529019,81.96928295486667,0.4935452926416542,85.31921153280376,92.23116313094367,78.2430191040039
4,0.4476528287113431,86.03787807406012,0.4010695454394706,87.74639599882317,92.23116313094367,78.2430191040039
5,0.3787594660398471,88.1956091585791,0.3649626951882285,88.3053839364519,92.23116313094367,78.2430191040039
6,0.3279358321464205,89.8822199189673,0.3256820869658177,89.15857605177993,92.23116313094367,78.2430191040039
7,0.2899191164108644,91.08451898614906,0.3008687683320212,90.5266254780818,92.23116313094367,78.2430191040039
8,0.2640017860445631,92.05314237256196,0.2921429933962699,90.9532215357458,92.23116313094367,78.2430191040039
9,0.2398656113948448,92.72778667671724,0.2690662330051309,91.76228302441896,92.23116313094367,78.2430191040039
10,0.2217107137283646,93.28936210308112,0.2585127554860001,91.92409532215358,92.23116313094367,78.2430191040039
